Symbol,Name,Price,Change,Change_percent,PE_Ratio
BAESF,BAE Systems plc,21.42,+3.22,+17.69%,26.44
TKAMY,thyssenkrupp AG,9.15,+1.22,+15.38%,-
ALGM,"Allegro MicroSystems, Inc.",25.62,+3.32,+14.89%,-
TGTX,"TG Therapeutics, Inc.",34.42,+4.33,+14.39%,-
RNMBY,Rheinmetall AG,249.16,+31.19,+14.31%,106.48
SAABY,Saab AB (publ),17.59,+2.16,+14.00%,48.86
TTVSY,Totvs SA,13.10,+1.35,+11.49%,32.75
ESLT,Elbit Systems Ltd.,334.60,+23.61,+7.59%,57.10
DV,"DoubleVerify Holdings, Inc.",14.90,+1.00,+7.19%,46.56
BCKIY,Babcock International Group PLC,9.53,+0.62,+6.96%,20.28
BAYRY,Bayer Aktiengesellschaft,6.29,+0.39,+6.61%,-
MT,ArcelorMittal S.A.,29.48,+1.74,+6.27%,17.44
ERIE,Erie Indemnity Company,449.69,+21.62,+5.05%,39.17
NOMD,Nomad Foods Limited,19.84,+0.94,+4.97%,13.59
ERJ,Embraer S.A.,49.95,+2.30,+4.83%,26.02
ANGPY,Anglo American Platinum Limited,5.25,+0.24,+4.79%,21.88
MHVIY,Mitsubishi Heavy Industries Ltd,28.08,+1.28,+4.78%,27.80
UWMC,UWM Holdings Corporation,6.57,+0.29,+4.62%,50.54
NOK,Nokia Oyj,5.01,+0.21,+4.37%,15.66
WY,Weyerhaeuser Company,31.39,+1.29,+4.29%,58.13
SKWD,"Skyward Specialty Insurance Group, Inc.",54.14,+2.12,+4.08%,18.86
HLN,Haleon plc,10.58,+0.40,+3.93%,26.45
CPRI,Capri Holdings Limited,22.83,+0.85,+3.87%,-
SNY,Sanofi,56.52,+2.05,+3.76%,24.79
ING,ING Groep N.V.,18.38,+0.65,+3.67%,8.92
